Name,Date,Republican,Democrat,Size
TIPP,10/16 - 10/18,47.0,48.0,1223
TIPP,10/15 - 10/17,47.0,49.0,1257
Quantus Insights,10/15 - 10/17,48.6,49.4,1045
ActiVote,10/09 - 10/17,51.1,48.9,1000
TIPP,10/14 - 10/16,46.0,49.0,1228
Emerson,10/14 - 10/16,49.2,49.5,1000
OnMessage Inc.,10/14 - 10/16,46.0,45.0,800
RMG Research,10/14 - 10/16,49.0,50.0,2950
Gateway Political Strategies,9/27 - 10/16,47.0,53.0,2540
TIPP,10/13 - 10/15,46.0,50.0,1248
YouGov,10/12 - 10/15,45.0,48.0,1457
TIPP,10/12 - 10/14,46.0,49.0,1198
Beacon/Shaw,10/11 - 10/14,50.0,48.0,1110
Fairleigh Dickinson,10/08 - 10/14,47.0,50.0,806
TIPP,10/11 - 10/13,46.0,49.0,1212
HarrisX/Harris Poll,10/11 - 10/13,48.0,49.0,2596
Morning Consult,10/11 - 10/13,46.0,50.0,8647
Ipsos,10/11 - 10/13,42.0,45.0,807
Morning Consult,10/10 - 10/12,46.0,50.0,8901
Morning Consult,10/09 - 10/11,46.0,50.0,8902
HarrisX,10/09 - 10/11,49.0,51.0,2010
YouGov,10/08 - 10/11,48.0,51.0,2712
Morning Consult,10/08 - 10/10,46.0,50.0,9556
Marist,10/08 - 10/10,47.0,52.0,1401
RMG Research,10/07 - 10/10,47.0,50.0,2945
Marquette Law School,10/01 - 10/10,50.0,50.0,780
Morning Consult,10/07 - 10/09,46.0,50.0,10188
Yale Youth Poll,10/07 - 10/08,45.6,46.9,5500
co/efficient,10/06 - 10/08,47.0,49.0,2180
Morning Consult,10/06 - 10/08,46.0,50.0,10812
Hart/POS,10/04 - 10/08,47.0,46.0,1000
Ipsos,10/04 - 10/08,48.0,49.0,2631
ActiVote,10/03 - 10/08,50.6,49.4,1000
YouGov,10/06 - 10/07,44.0,47.0,1414
Morning Consult,10/05 - 10/07,45.0,51.0,11739
Ipsos,10/04 - 10/07,38.0,42.0,1272
Redfield & Wilton Strategies,10/06 - 10/06,45.99,47.72,1918
Research Co.,10/04 - 10/06,45.0,49.0,1001
Morning Consult,10/04 - 10/06,46.0,51.0,11353
Pew,9/30 - 10/06,47.0,48.0,4025
Siena/NYT,9/29 - 10/06,46.0,49.0,3385
Morning Consult,10/03 - 10/05,45.0,51.0,10844
TIPP,10/02 - 10/04,46.0,49.0,997
YouGov,10/02 - 10/04,45.0,46.0,1150
Big Village,10/02 - 10/04,41.5,44.5,1013
Morning Consult,10/02 - 10/04,45.0,51.0,10454
Noble Predictive Insights,10/02 - 10/04,46.0,49.0,2290
Data for Progress,10/02 - 10/03,46.0,49.0,1211
Cygnal,10/02 - 10/03,44.5,47.2,1500
Morning Consult,10/01 - 10/03,45.0,50.0,10775
RMG Research,9/30 - 10/03,49.0,49.0,2965
Morning Consult,9/30 - 10/02,45.0,50.0,11085
ActiVote,9/25 - 10/02,49.3,50.7,1000
YouGov,9/29 - 10/01,45.0,48.0,1463
Emerson,9/29 - 10/01,48.6,50.2,1000
Morning Consult,9/29 - 10/01,46.0,50.0,11274
Marist,9/27 - 10/01,48.0,50.0,1294
Susquehanna,9/23 - 10/01,44.0,49.0,1001
Morning Consult,9/28 - 9/30,46.0,50.0,11568
Redfield & Wilton Strategies,9/28 - 9/29,46.0,48.0,1616
Morning Consult,9/27 - 9/29,46.0,51.0,11381
Leger,9/27 - 9/29,47.0,51.0,837
Morning Consult,9/26 - 9/28,45.0,50.0,11289
Morning Consult,9/25 - 9/27,45.0,50.0,11003
McCourtney Institute/YouGov,9/23 - 9/27,45.0,48.0,848
Redfield & Wilton Strategies,9/25 - 9/26,44.0,47.0,2021
Morning Consult,9/24 - 9/26,45.0,50.0,11155
Outward Intelligence,9/22 - 9/26,47.0,53.0,1735
Echelon Insights,9/23 - 9/25,45.0,52.0,1005
Big Village,9/23 - 9/25,41.1,45.6,2021
RMG Research,9/23 - 9/25,48.0,50.0,2952
Morning Consult,9/23 - 9/25,45.0,51.0,10966
Morning Consult,9/22 - 9/24,45.0,51.0,11167
YouGov,9/21 - 9/24,44.0,47.0,1424
Clarity,9/19 - 9/24,44.0,51.0,1000
ActiVote,9/18 - 9/24,48.6,51.4,1000
Morning Consult,9/21 - 9/23,45.0,51.0,11157
Morning Consult,9/20 - 9/22,45.0,50.0,11057
Ipsos,9/20 - 9/22,40.48,46.61,871
