Name,Date,Republican,Democrat,Size
Morning Consult,10/22 - 10/31,51.7,45.0,2120
Cygnal,10/26 - 10/28,51.0,43.0,600
ActiVote,10/21 - 10/27,55.0,45.0,400
Siena/NYT,10/23 - 10/26,52.0,41.0,1180
CES / YouGov,10/01 - 10/25,51.0,47.0,6526
Emerson,10/18 - 10/21,53.1,45.9,815
University of Texas at Tyler,10/14 - 10/21,51.0,46.0,956
YouGov,10/07 - 10/17,50.0,45.0,1108
ActiVote,9/26 - 10/16,55.8,44.2,400
Morning Consult,10/06 - 10/15,50.0,46.0,2048
YouGov,10/02 - 10/10,51.0,46.0,1091
U. Houston,9/26 - 10/10,51.0,46.0,1329
Marist,10/03 - 10/07,52.0,46.0,1365
Florida Atlantic University/Mainstreet Research,10/02 - 10/06,50.0,45.0,811
CWS Research,10/01 - 10/04,48.0,43.0,533
Siena/NYT,9/29 - 10/04,50.0,44.0,617
RMG Research,9/25 - 9/27,53.0,46.0,779
PPP,9/25 - 9/26,49.0,44.0,759
Emerson,9/22 - 9/24,52.3,46.7,950
ActiVote,9/07 - 9/24,54.3,45.7,400
Texas Hispanic Policy Foundation,9/13 - 9/18,50.0,44.0,1200
Morning Consult,9/09 - 9/18,49.58,45.77,2716
CWS Research,9/04 - 9/09,51.0,41.0,504
Morning Consult,8/30 - 9/08,51.75,43.43,2940
Emerson,9/03 - 9/05,50.9,48.0,845
YouGov,8/23 - 8/31,49.0,44.0,1200
ActiVote,8/14 - 8/31,54.5,45.5,400
Lake Research,8/24 - 8/29,51.0,43.0,800
PPP,8/21 - 8/22,45.0,42.0,725
University of Houston/Texas Southern University,8/05 - 8/16,49.5,44.6,1365
ActiVote,7/31 - 8/13,53.3,46.7,400
U. Houston,1/11 - 1/24,52.0,39.0,1145
